Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
;;;;100B;01:13.80
;;;;100K;01:18.39
;;;;100Lg;01:05.72
;;;;200S;02:30.75
;;;;200R;02:23.81
;;;;200B;02:19.78
;;;;200K;02:23.02
;;;;200Lg;02:43.13
;;;;400K;05:14.39
;;;;400Lg;06:11.56
;;;;800K;10:17.85
;;;;1500K;21:13.15
Schwimmer57;Max57;m;;50S;00:36.11
;;;;50R;00:32.10
;;;;50B;00:34.28
;;;;50K;00:31.15
;;;;100S;01:14.65
;;;;100R;01:12.55
;;;;100B;01:15.25
;;;;100K;01:11.67
;;;;100Lg;01:04.39
;;;;200S;02:17.25
;;;;200R;02:22.37
;;;;200B;02:18.49
;;;;200K;02:23.74
;;;;200Lg;02:43.52
;;;;400K;05:32.64
;;;;400Lg;05:21.43
;;;;800K;12:48.45
;;;;1500K;21:43.40
Schwimmer58;Max58;m;;50S;00:37.26
;;;;50R;00:33.15
;;;;50B;00:32.76
;;;;50K;00:28.82
;;;;100S;01:20.99
;;;;100R;01:16.61
;;;;100B;01:13.97
;;;;100K;01:10.36
;;;;100Lg;01:19.08
;;;;200S;02:50.60
;;;;200R;02:22.76
;;;;200B;02:20.98
;;;;200K;02:49.67
;;;;200Lg;02:37.61
;;;;400K;05:31.61
;;;;400Lg;05:21.13
;;;;800K;10:22.82
;;;;1500K;26:48.98
Schwimmer59;Max59;m;;50S;00:33.44
;;;;50R;00:36.80
;;;;50B;00:34.53
;;;;50K;00:31.99
;;;;100S;01:17.81
;;;;100R;01:11.76
;;;;100B;01:09.81
;;;;100K;01:05.86
;;;;100Lg;01:07.17
;;;;200S;02:49.23
;;;;200R;02:41.04
;;;;200B;02:38.68
;;;;200K;02:53.45
;;;;200Lg;02:48.15
;;;;400K;04:48.94
;;;;400Lg;05:52.52
;;;;800K;10:22.75
;;;;1500K;22:05.98
Schwimmer60;Max60;m;;50S;00:35.01
;;;;50R;00:33.51
;;;;50B;00:32.29
;;;;50K;00:34.69
;;;;100S;01:20.85
;;;;100R;01:07.44
;;;;100B;01:06.26
;;;;100K;01:10.13
;;;;100Lg;01:15.52
;;;;200S;02:23.99
;;;;200R;02:32.27
;;;;200B;02:49.27
;;;;200K;02:25.71
;;;;200Lg;02:17.72
;;;;400K;04:53.78
;;;;400Lg;06:04.41
;;;;800K;11:10.47
;;;;1500K;25:50.39
Schwimmer61;Max61;m;;50S;00:35.05
;;;;50R;00:31.72
;;;;50B;00:33.89
;;;;50K;00:33.48
;;;;100S;01:06.98
;;;;100R;01:09.62
;;;;100B;01:18.69
;;;;100K;01:09.77
;;;;100Lg;01:14.28
;;;;200S;02:13.62
;;;;200R;02:46.62
;;;;200B;02:26.89
;;;;200K;02:25.30
;;;;200Lg;02:20.56
;;;;400K;05:36.17
;;;;400Lg;05:10.19
;;;;800K;13:16.28
;;;;1500K;25:07.01
Schwimmer62;Max62;m;;50S;00:35.93
;;;;50R;00:33.78
;;;;50B;00:34.99
;;;;50K;00:31.66
;;;;100S;01:14.62
;;;;100R;01:17.02
;;;;100B;01:13.68
;;;;100K;01:12.95
;;;;100Lg;01:18.56
;;;;200S;02:27.33
;;;;200R;02:30.19
;;;;200B;02:26.86
;;;;200K;02:46.04
;;;;200Lg;02:30.98
;;;;400K;06:00.00
;;;;400Lg;05:13.54
;;;;800K;10:40.17
;;;;1500K;22:43.57
Schwimmer63;Max63;m;;50S;00:30.88
;;;;50R;00:33.95
;;;;50B;00:33.74
;;;;50K;00:31.54
;;;;100S;01:14.05
;;;;100R;01:16.93
;;;;100B;01:20.04
;;;;100K;01:21.08
;;;;100Lg;01:06.21
;;;;200S;02:21.03
;;;;200R;02:45.85
;;;;200B;02:45.43
;;;;200K;02:16.19
;;;;200Lg;02:42.36
;;;;400K;04:56.74
;;;;400Lg;05:36.41
;;;;800K;10:23.38
;;;;1500K;24:34.44
Schwimmer64;Max64;m;;50S;00:33.59
;;;;50R;00:33.66
;;;;50B;00:29.85
;;;;50K;00:29.19
;;;;100S;01:13.00
;;;;100R;01:19.46
;;;;100B;01:15.43
;;;;100K;01:08.49
;;;;100Lg;01:09.60
;;;;200S;02:45.34
;;;;200R;02:36.90
;;;;200B;02:40.24
;;;;200K;02:54.76
;;;;200Lg;02:30.01
;;;;400K;06:10.49
;;;;400Lg;05:28.44
;;;;800K;10:20.95
;;;;1500K;23:19.48
Schwimmer65;Max65;m;;50S;00:35.16
;;;;50R;00:32.18
;;;;50B;00:30.45
;;;;50K;00:33.51
;;;;100S;01:15.29
;;;;100R;01:03.00
;;;;100B;01:04.18
;;;;100K;01:12.69
;;;;100Lg;01:08.22
;;;;200S;02:31.04
;;;;200R;02:25.70
;;;;200B;02:37.06
;;;;200K;02:44.01
;;;;200Lg;02:27.42
;;;;400K;05:38.86
;;;;400Lg;05:16.37
;;;;800K;12:20.64
;;;;1500K;25:23.47
Schwimmer66;Max66;m;;50S;00:29.11
;;;;50R;00:36.63
;;;;50B;00:32.50
;;;;50K;00:31.65
;;;;100S;01:15.80
;;;;100R;01:08.36
;;;;100B;01:01.87
;;;;100K;01:19.92
;;;;100Lg;01:16.56
;;;;200S;02:48.01
;;;;200R;02:32.35
;;;;200B;02:52.21
;;;;200K;02:24.30
;;;;200Lg;02:17.73
;;;;400K;05:43.22
;;;;400Lg;05:18.86
;;;;800K;12:50.32
;;;;1500K;22:47.80
Schwimmer67;Max67;m;;50S;00:30.74
;;;;50R;00:36.66
;;;;50B;00:32.11
;;;;50K;00:29.67
;;;;100S;01:13.63
;;;;100R;01:09.56
;;;;100B;01:04.27
;;;;100K;01:18.69
;;;;100Lg;01:04.94
;;;;200S;02:14.63
;;;;200R;02:29.95
;;;;200B;02:23.38
;;;;200K;02:47.66
;;;;200Lg;02:44.20
;;;;400K;04:58.03
;;;;400Lg;06:05.06
;;;;800K;12:51.45
;;;;1500K;24:37.65
Schwimmer68;Max68;m;;50S;00:35.10
;;;;50R;00:36.39
;;;;50B;00:28.88
;;;;50K;00:32.08
;;;;100S;01:07.20
;;;;100R;01:07.76
;;;;100B;01:19.63
;;;;100K;01:14.16
;;;;100Lg;01:16.57
;;;;200S;02:23.38
;;;;200R;02:28.57
;;;;200B;02:46.72
;;;;200K;02:15.84
;;;;200Lg;02:40.36
;;;;400K;05:31.91
;;;;400Lg;05:59.02
;;;;800K;11:52.08
;;;;1500K;26:32.24
Schwimmer69;Max69;m;;50S;00:33.43
;;;;50R;00:28.62
;;;;50B;00:36.41
;;;;50K;00:28.64
;;;;100S;01:11.59
;;;;100R;01:06.49
;;;;100B;01:17.24
;;;;100K;01:16.56
;;;;100Lg;01:05.92
;;;;200S;02:54.87
;;;;200R;02:35.16
;;;;200B;02:30.13
;;;;200K;02:38.37
;;;;200Lg;02:43.30
;;;;400K;05:04.10
;;;;400Lg;05:23.54
;;;;800K;12:57.43
;;;;1500K;26:57.44
Schwimmer70;Max70;m;;50S;00:32.87
;;;;50R;00:37.23
;;;;50B;00:33.80
;;;;50K;00:30.05
;;;;100S;01:11.58
;;;;100R;01:17.58
;;;;100B;01:08.24
;;;;100K;01:04.16
;;;;100Lg;01:05.00
;;;;200S;02:54.06
;;;;200R;02:13.64
;;;;200B;02:29.67
;;;;200K;02:51.10
;;;;200Lg;02:46.11
;;;;400K;04:48.69
;;;;400Lg;05:39.78
;;;;800K;11:28.57
;;;;1500K;20:55.79
Schwimmer71;Max71;m;;50S;00:29.58
;;;;50R;00:29.02
;;;;50B;00:34.74
;;;;50K;00:36.06
;;;;100S;01:10.85
;;;;100R;01:14.15
;;;;100B;01:13.47
;;;;100K;01:14.69
;;;;100Lg;01:15.62
;;;;200S;02:51.42
;;;;200R;02:38.39
;;;;200B;02:35.19
;;;;200K;02:50.18
;;;;200Lg;02:33.30
;;;;400K;04:53.15
;;;;400Lg;06:03.56
;;;;800K;11:46.05
;;;;1500K;23:05.63
Schwimmer72;Max72;m;;50S;00:30.33
;;;;50R;00:32.93
;;;;50B;00:36.52
;;;;50K;00:31.05
;;;;100S;01:09.94
;;;;100R;01:16.09
;;;;100B;01:03.64
;;;;100K;01:20.61
;;;;100Lg;01:19.54
;;;;200S;02:19.78
;;;;200R;02:34.56
;;;;200B;02:25.56
;;;;200K;02:54.48
;;;;200Lg;02:19.05
;;;;400K;05:53.94
;;;;400Lg;05:02.36
;;;;800K;12:15.51
;;;;1500K;21:27.85
Schwimmer73;Max73;m;;50S;00:34.00
;;;;50R;00:33.80
;;;;50B;00:35.03
;;;;50K;00:30.14
;;;;100S;01:20.02
;;;;100R;01:12.28
;;;;100B;01:16.45
;;;;100K;01:02.77
;;;;100Lg;01:02.06
;;;;200S;02:35.92
;;;;200R;02:32.97
;;;;200B;02:53.46
;;;;200K;02:36.83
;;;;200Lg;02:47.02
;;;;400K;05:19.11
;;;;400Lg;04:56.28
;;;;800K;12:23.68
;;;;1500K;23:27.07
Schwimmer74;Max74;m;;50S;00:32.65
;;;;50R;00:33.33
;;;;50B;00:28.86
;;;;50K;00:28.94
;;;;100S;01:19.83
;;;;100R;01:18.95
;;;;100B;01:02.83
;;;;100K;01:06.21
;;;;100Lg;01:18.94
;;;;200S;02:21.82
;;;;200R;02:37.84
;;;;200B;02:54.11
;;;;200K;02:23.44
;;;;200Lg;02:24.63
;;;;400K;06:13.20
;;;;400Lg;06:14.57
;;;;800K;13:30.39
;;;;1500K;26:16.38
Schwimmer75;Max75;m;;50S;00:31.99
;;;;50R;00:29.63
;;;;50B;00:35.91
;;;;50K;00:33.78
;;;;100S;01:02.43
;;;;100R;01:14.56
;;;;100B;01:02.37
;;;;100K;01:09.37
;;;;100Lg;01:14.92
;;;;200S;02:49.15
;;;;200R;02:31.57
;;;;200B;02:31.29
;;;;200K;02:49.18
;;;;200Lg;02:50.31
;;;;400K;05:08.53
;;;;400Lg;04:56.09
;;;;800K;13:26.14
;;;;1500K;20:44.26
Schwimmer76;Max76;m;;50S;00:29.45
;;;;50R;00:33.37
;;;;50B;00:29.61
;;;;50K;00:31.34
;;;;100S;01:05.54
;;;;100R;01:18.11
;;;;100B;01:16.21
;;;;100K;01:17.30
;;;;100Lg;01:21.05
;;;;200S;02:23.75
;;;;200R;02:54.56
;;;;200B;02:51.19
;;;;200K;02:36.84
;;;;200Lg;02:52.42
;;;;400K;05:49.70
;;;;400Lg;05:00.57
;;;;800K;10:55.20
;;;;1500K;24:10.40
Schwimmer77;Max77;m;;50S;00:31.35
;;;;50R;00:35.62
;;;;50B;00:30.64
;;;;50K;00:30.08
;;;;100S;01:02.20
;;;;100R;01:10.65
;;;;100B;01:07.40
;;;;100K;01:10.01
;;;;100Lg;01:04.12
;;;;200S;02:22.81
;;;;200R;02:39.77
;;;;200B;02:24.56
;;;;200K;02:16.42
;;;;200Lg;02:34.46
;;;;400K;05:17.21
;;;;400Lg;04:47.26
;;;;800K;10:42.53
;;;;1500K;26:26.26
Schwimmer78;Max78;m;;50S;00:36.52
;;;;50R;00:31.83
;;;;50B;00:36.80
;;;;50K;00:33.84
;;;;100S;01:09.43
;;;;100R;01:05.27
;;;;100B;01:08.59
;;;;100K;01:18.55
;;;;100Lg;01:08.48
;;;;200S;02:28.88
;;;;200R;02:49.43
;;;;200B;02:49.36
;;;;200K;02:46.51
;;;;200Lg;02:45.20
;;;;400K;05:33.26
;;;;400Lg;05:52.55
;;;;800K;10:30.85
;;;;1500K;25:58.66
Schwimmer79;Max79;m;;50S;00:30.59
;;;;50R;00:30.62
;;;;50B;00:32.16
;;;;50K;00:36.88
;;;;100S;01:13.73
;;;;100R;01:17.78
;;;;100B;01:04.62
;;;;100K;01:13.82
;;;;100Lg;01:11.70
;;;;200S;02:43.46
;;;;200R;02:26.83
;;;;200B;02:32.98
;;;;200K;02:33.94
;;;;200Lg;02:32.54
;;;;400K;05:31.00
;;;;400Lg;05:34.82
;;;;800K;11:48.89
;;;;1500K;24:55.54
Schwimmer80;Max80;m;;50S;00:30.19
;;;;50R;00:30.50
;;;;50B;00:32.42
;;;;50K;00:29.81
;;;;100S;01:15.65
;;;;100R;01:10.09
;;;;100B;01:09.51
;;;;100K;01:11.36
;;;;100Lg;01:10.42
;;;;200S;02:47.91
;;;;200R;02:36.89
;;;;200B;02:23.11
;;;;200K;02:22.08
;;;;200Lg;02:26.97
;;;;400K;04:53.90
;;;;400Lg;05:57.87
;;;;800K;11:44.51
;;;;1500K;21:36.64
Schwimmer81;Max81;m;;50S;00:31.20
;;;;50R;00:35.79
;;;;50B;00:37.10
;;;;50K;00:31.41
;;;;100S;01:10.95
;;;;100R;01:07.27
;;;;100B;01:07.03
;;;;100K;01:15.77
;;;;100Lg;01:09.90
;;;;200S;02:45.59
;;;;200R;02:17.63
;;;;200B;02:49.93
;;;;200K;02:22.85
;;;;200Lg;02:52.22
;;;;400K;05:27.61
;;;;400Lg;05:15.92
;;;;800K;13:12.98
;;;;1500K;24:37.75
Schwimmer82;Max82;m;;50S;00:30.13
;;;;50R;00:33.33
;;;;50B;00:28.95
;;;;50K;00:31.68
;;;;100S;01:10.67
;;;;100R;01:17.30
;;;;100B;01:11.99
;;;;100K;01:17.11
;;;;100Lg;01:10.08
;;;;200S;02:40.50
;;;;200R;02:42.47
;;;;200B;02:17.24
;;;;200K;02:35.40
;;;;200Lg;02:50.50
;;;;400K;04:56.64
;;;;400Lg;05:18.52
;;;;800K;13:26.52
;;;;1500K;21:50.75
Schwimmer83;Max83;m;;50S;00:36.24
;;;;50R;00:36.47
;;;;50B;00:35.76
;;;;50K;00:30.29
;;;;100S;01:09.09
;;;;100R;01:13.56
;;;;100B;01:11.83
;;;;100K;01:18.70
;;;;100Lg;01:03.10
;;;;200S;02:49.17
;;;;200R;02:46.90
;;;;200B;02:20.15
;;;;200K;02:20.43
;;;;200Lg;02:43.31
;;;;400K;05:48.05
;;;;400Lg;06:03.01
;;;;800K;11:42.17
;;;;1500K;26:21.92
Schwimmer84;Max84;m;;50S;00:29.77
;;;;50R;00:30.91
;;;;50B;00:29.57
;;;;50K;00:36.35
;;;;100S;01:02.04
;;;;100R;01:13.97
;;;;100B;01:19.21
;;;;100K;01:02.55
;;;;100Lg;01:05.02
;;;;200S;02:43.37
;;;;200R;02:39.00
;;;;200B;02:54.31
;;;;200K;02:25.54
;;;;200Lg;02:23.95
;;;;400K;04:54.61
;;;;400Lg;05:53.69
;;;;800K;12:55.93
;;;;1500K;22:05.43
Schwimmer85;Max85;m;;50S;00:33.93
;;;;50R;00:31.27
;;;;50B;00:28.63
;;;;50K;00:30.48
;;;;100S;01:20.29
;;;;100R;01:03.41
;;;;100B;01:19.17
;;;;100K;01:11.44
;;;;100Lg;01:01.76
;;;;200S;02:17.20
;;;;200R;02:13.14
;;;;200B;02:24.66
;;;;200K;02:43.30
;;;;200Lg;02:24.15
;;;;400K;06:08.52
;;;;400Lg;05:39.26
;;;;800K;12:39.70
;;;;1500K;25:58.17
Schwimmer86;Max86;m;;50S;00:31.07
;;;;50R;00:35.15
;;;;50B;00:37.28
;;;;50K;00:31.42
;;;;100S;01:08.28
;;;;100R;01:18.37
;;;;100B;01:17.98
;;;;100K;01:14.37
;;;;100Lg;01:12.47
;;;;200S;02:40.71
;;;;200R;02:35.70
;;;;200B;02:27.80
;;;;200K;02:15.19
;;;;200Lg;02:26.56
;;;;400K;06:00.33
;;;;400Lg;04:52.91
;;;;800K;11:36.69
;;;;1500K;22:48.21
Schwimmer87;Max87;m;;50S;00:35.28
;;;;50R;00:34.97
;;;;50B;00:32.18
;;;;50K;00:28.68
;;;;100S;01:08.46
;;;;100R;01:04.84
;;;;100B;01:19.66
;;;;100K;01:02.36
;;;;100Lg;01:17.03
;;;;200S;02:18.50
;;;;200R;02:53.45
;;;;200B;02:52.96
;;;;200K;02:14.54
;;;;200Lg;02:49.21
;;;;400K;05:22.87
;;;;400Lg;05:35.76
;;;;800K;10:47.95
;;;;1500K;21:51.91
Schwimmer88;Max88;m;;50S;00:36.41
;;;;50R;00:34.05
;;;;50B;00:29.07
;;;;50K;00:32.11
;;;;100S;01:16.55
;;;;100R;01:20.52
;;;;100B;01:09.74
;;;;100K;01:12.14
;;;;100Lg;01:08.35
;;;;200S;02:43.29
;;;;200R;02:38.41
;;;;200B;02:49.90
;;;;200K;02:51.23
;;;;200Lg;02:23.20
;;;;400K;05:46.90
;;;;400Lg;04:54.23
;;;;800K;11:38.86
;;;;1500K;24:13.48
Schwimmer89;Max89;m;;50S;00:37.06
;;;;50R;00:29.21
;;;;50B;00:34.76
;;;;50K;00:35.75
;;;;100S;01:02.34
;;;;100R;01:04.97
;;;;100B;01:14.17
;;;;100K;01:09.82
;;;;100Lg;01:03.72
;;;;200S;02:16.47
;;;;200R;02:33.91
;;;;200B;02:13.32
;;;;200K;02:35.50
;;;;200Lg;02:50.59
;;;;400K;05:41.09
;;;;400Lg;05:34.46
;;;;800K;12:35.36
;;;;1500K;25:12.19
Schwimmer90;Max90;m;;50S;00:32.69
;;;;50R;00:37.31
;;;;50B;00:31.01
;;;;50K;00:35.26
;;;;100S;01:07.27
;;;;100R;01:18.60
;;;;100B;01:10.39
;;;;100K;01:04.62
;;;;100Lg;01:11.35
;;;;200S;02:20.56
;;;;200R;02:14.12
;;;;200B;02:25.97
;;;;200K;02:24.78
;;;;200Lg;02:23.41
;;;;400K;06:10.35
;;;;400Lg;04:46.10
;;;;800K;10:39.04
;;;;1500K;25:54.77
Schwimmer91;Max91;m;;50S;00:31.04
;;;;50R;00:32.08
;;;;50B;00:29.15
;;;;50K;00:28.87
;;;;100S;01:09.42
;;;;100R;01:09.59
;;;;100B;01:03.70
;;;;100K;01:16.09
;;;;100Lg;01:09.89
;;;;200S;02:18.49
;;;;200R;02:42.86
;;;;200B;02:53.33
;;;;200K;02:48.82
;;;;200Lg;02:41.43
;;;;400K;04:52.59
;;;;400Lg;06:07.89
;;;;800K;12:53.36
;;;;1500K;21:24.63
Schwimmer92;Max92;m;;50S;00:32.93
;;;;50R;00:28.88
;;;;50B;00:33.14
;;;;50K;00:28.86
;;;;100S;01:19.76
;;;;100R;01:19.56
;;;;100B;01:10.09
;;;;100K;01:08.62
;;;;100Lg;01:16.74
;;;;200S;02:20.68
;;;;200R;02:45.45
;;;;200B;02:41.95
;;;;200K;02:22.67
;;;;200Lg;02:34.12
;;;;400K;05:46.31
;;;;400Lg;04:46.70
;;;;800K;12:48.74
;;;;1500K;21:59.12
Schwimmer93;Max93;m;;50S;00:35.89
;;;;50R;00:34.06
;;;;50B;00:32.88
;;;;50K;00:36.97
;;;;100S;01:08.97
;;;;100R;01:10.64
;;;;100B;01:05.62
;;;;100K;01:10.68
;;;;100Lg;01:13.34
;;;;200S;02:39.07
;;;;200R;02:16.38
;;;;200B;02:35.46
;;;;200K;02:16.67
;;;;200Lg;02:50.35
;;;;400K;06:00.43
;;;;400Lg;04:58.35
;;;;800K;11:29.10
;;;;1500K;20:56.01
Schwimmer94;Max94;m;;50S;00:37.13
;;;;50R;00:32.69
;;;;50B;00:30.05
;;;;50K;00:30.14
;;;;100S;01:09.63
;;;;100R;01:07.38
;;;;100B;01:06.18
;;;;100K;01:18.09
;;;;100Lg;01:21.08
;;;;200S;02:52.72
;;;;200R;02:37.73
;;;;200B;02:37.75
;;;;200K;02:25.92
;;;;200Lg;02:32.52
;;;;400K;05:04.59
;;;;400Lg;05:37.77
;;;;800K;11:29.70
;;;;1500K;24:55.83
Schwimmer95;Max95;m;;50S;00:31.84
;;;;50R;00:31.00
;;;;50B;00:36.33
;;;;50K;00:36.61
;;;;100S;01:04.01
;;;;100R;01:20.85
;;;;100B;01:02.38
;;;;100K;01:18.89
;;;;100Lg;01:04.14
;;;;200S;02:16.13
;;;;200R;02:27.62
;;;;200B;02:42.89
;;;;200K;02:24.73
;;;;200Lg;02:46.69
;;;;400K;05:52.95
;;;;400Lg;05:26.96
;;;;800K;13:08.03
;;;;1500K;22:42.45
Schwimmer96;Max96;m;;50S;00:34.05
;;;;50R;00:37.37
;;;;50B;00:36.82
;;;;50K;00:29.85
;;;;100S;01:06.23
;;;;100R;01:17.23
;;;;100B;01:02.27
;;;;100K;01:14.68
;;;;100Lg;01:16.73
;;;;200S;02:16.72
;;;;200R;02:16.14
;;;;200B;02:46.21
;;;;200K;02:25.11
;;;;200Lg;02:29.53
;;;;400K;06:01.10
;;;;400Lg;06:01.05
;;;;800K;11:52.94
;;;;1500K;21:13.56
Schwimmer97;Max97;m;;50S;00:28.90
;;;;50R;00:33.58
;;;;50B;00:32.49
;;;;50K;00:36.11
;;;;100S;01:18.66
;;;;100R;01:01.85
;;;;100B;01:17.06
;;;;100K;01:10.84
;;;;100Lg;01:09.49
;;;;200S;02:17.45
;;;;200R;02:16.99
;;;;200B;02:51.76
;;;;200K;02:18.53
;;;;200Lg;02:54.73
;;;;400K;05:10.78
;;;;400Lg;06:03.74
;;;;800K;12:12.39
;;;;1500K;26:37.26
Schwimmer98;Max98;m;;50S;00:32.40
;;;;50R;00:35.90
;;;;50B;00:33.45
;;;;50K;00:35.11
;;;;100S;01:09.04
;;;;100R;01:19.33
;;;;100B;01:16.13
;;;;100K;01:20.05
;;;;100Lg;01:08.43
;;;;200S;02:36.83
;;;;200R;02:20.62
;;;;200B;02:28.86
;;;;200K;02:53.11
;;;;200Lg;02:32.36
;;;;400K;05:53.10
;;;;400Lg;06:10.68
;;;;800K;12:31.45
;;;;1500K;20:47.54
Schwimmer99;Max99;m;;50S;00:34.36
;;;;50R;00:32.47
;;;;50B;00:28.90
;;;;50K;00:30.40
;;;;100S;01:11.22
;;;;100R;01:12.22
;;;;100B;01:05.02
;;;;100K;01:16.34
;;;;100Lg;01:09.75
;;;;200S;02:14.46
;;;;200R;02:41.88
;;;;200B;02:51.86
;;;;200K;02:17.88
;;;;200Lg;02:21.04
;;;;400K;04:55.81
;;;;400Lg;05:21.15
;;;;800K;10:47.12
;;;;1500K;23:10.25
Schwimmer100;Max100;m;;50S;00:28.58
;;;;50R;00:31.60
;;;;50B;00:33.15
;;;;50K;00:34.66
;;;;100S;01:11.27
;;;;100R;01:09.17
;;;;100B;01:12.28
;;;;100K;01:04.92
;;;;100Lg;01:02.85
;;;;200S;02:35.07
;;;;200R;02:18.27
;;;;200B;02:48.17
;;;;200K;02:27.94
;;;;200Lg;02:51.31
;;;;400K;04:45.82
;;;;400Lg;05:53.27
;;;;800K;12:42.13
;;;;1500K;25:49.10
