Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
Schwimmer56;Test56;w;52;50S;00:37.45
;;;;50R;00:31.16
;;;;50B;00:35.03
;;;;50K;00:32.54
;;;;100S;01:07.58
;;;;100R;01:11.30
;;;;100B;01:31.80
;;;;100K;01:10.75
;;;;100Lg;01:22.20
;;;;200S;03:09.70
;;;;200R;03:08.61
;;;;200B;03:23.10
;;;;200K;02:26.24
;;;;200Lg;02:36.63
;;;;400K;04:53.91
;;;;400Lg;05:53.84
;;;;800K;12:46.22
;;;;1500K;22:53.66
Schwimmer57;Test57;w;60;50S;00:31.43
;;;;50R;00:38.68
;;;;50B;00:44.56
;;;;50K;00:30.88
;;;;100S;01:05.46
;;;;100R;01:35.21
;;;;100B;01:30.18
;;;;100K;01:09.84
;;;;100Lg;01:11.27
;;;;200S;02:30.05
;;;;200R;03:16.72
;;;;200B;02:45.11
;;;;200K;02:14.42
;;;;200Lg;02:58.18
;;;;400K;05:31.64
;;;;400Lg;06:13.81
;;;;800K;14:02.74
;;;;1500K;18:55.22
Schwimmer58;Test58;m;16;50S;00:34.63
;;;;50R;00:41.81
;;;;50B;00:40.87
;;;;50K;00:32.07
;;;;100S;01:29.19
;;;;100R;01:23.23
;;;;100B;01:25.10
;;;;100K;01:02.75
;;;;100Lg;01:31.92
;;;;200S;02:13.87
;;;;200R;02:32.66
;;;;200B;03:39.32
;;;;200K;02:31.91
;;;;200Lg;02:32.22
;;;;400K;05:20.07
;;;;400Lg;05:15.01
;;;;800K;14:09.90
;;;;1500K;21:13.83
Schwimmer59;Test59;w;58;50S;00:35.57
;;;;50R;00:32.42
;;;;50B;00:38.10
;;;;50K;00:32.33
;;;;100S;01:04.48
;;;;100R;01:18.84
;;;;100B;01:17.21
;;;;100K;01:08.32
;;;;100Lg;01:17.82
;;;;200S;02:24.45
;;;;200R;03:19.56
;;;;200B;03:52.38
;;;;200K;02:20.70
;;;;200Lg;02:29.92
;;;;400K;05:31.61
;;;;400Lg;06:01.25
;;;;800K;10:30.61
;;;;1500K;24:58.13
Schwimmer60;Test60;w;38;50S;00:33.56
;;;;50R;00:37.78
;;;;50B;00:49.86
;;;;50K;00:27.59
;;;;100S;01:25.06
;;;;100R;01:08.42
;;;;100B;01:49.40
;;;;100K;01:02.62
;;;;100Lg;01:09.53
;;;;200S;02:38.30
;;;;200R;03:10.70
;;;;200B;03:06.89
;;;;200K;02:07.67
;;;;200Lg;02:39.22
;;;;400K;04:37.19
;;;;400Lg;06:56.48
;;;;800K;13:33.42
;;;;1500K;19:52.53
Schwimmer61;Test61;m;75;50S;00:38.90
;;;;50R;00:33.98
;;;;50B;00:39.17
;;;;50K;00:26.67
;;;;100S;01:01.44
;;;;100R;01:23.75
;;;;100B;01:11.98
;;;;100K;01:18.51
;;;;100Lg;01:34.23
;;;;200S;02:48.53
;;;;200R;03:18.88
;;;;200B;03:11.62
;;;;200K;02:15.53
;;;;200Lg;03:15.70
;;;;400K;05:06.27
;;;;400Lg;06:09.16
;;;;800K;13:06.99
;;;;1500K;21:42.02
Schwimmer62;Test62;m;98;50S;00:35.11
;;;;50R;00:41.86
;;;;50B;00:40.63
;;;;50K;00:31.71
;;;;100S;01:26.81
;;;;100R;01:08.98
;;;;100B;01:45.60
;;;;100K;01:19.72
;;;;100Lg;01:16.31
;;;;200S;02:10.82
;;;;200R;02:42.85
;;;;200B;03:11.92
;;;;200K;02:24.40
;;;;200Lg;03:26.10
;;;;400K;04:34.22
;;;;400Lg;06:11.69
;;;;800K;14:04.35
;;;;1500K;22:28.34
Schwimmer63;Test63;m;79;50S;00:39.22
;;;;50R;00:39.84
;;;;50B;00:49.68
;;;;50K;00:27.57
;;;;100S;01:13.16
;;;;100R;01:35.55
;;;;100B;01:45.82
;;;;100K;00:57.80
;;;;100Lg;01:22.60
;;;;200S;03:08.51
;;;;200R;02:39.47
;;;;200B;03:50.41
;;;;200K;02:48.10
;;;;200Lg;02:49.57
;;;;400K;05:35.72
;;;;400Lg;06:39.67
;;;;800K;13:42.89
;;;;1500K;23:42.84
Schwimmer64;Test64;m;34;50S;00:36.03
;;;;50R;00:37.53
;;;;50B;00:44.32
;;;;50K;00:27.01
;;;;100S;01:13.53
;;;;100R;01:20.53
;;;;100B;01:38.51
;;;;100K;01:12.18
;;;;100Lg;01:27.18
;;;;200S;02:24.87
;;;;200R;02:54.23
;;;;200B;03:35.33
;;;;200K;02:50.89
;;;;200Lg;03:14.75
;;;;400K;04:37.43
;;;;400Lg;06:06.83
;;;;800K;12:21.30
;;;;1500K;23:54.46
Schwimmer65;Test65;w;21;50S;00:30.25
;;;;50R;00:38.26
;;;;50B;00:48.31
;;;;50K;00:30.74
;;;;100S;01:28.99
;;;;100R;01:37.36
;;;;100B;01:47.52
;;;;100K;00:57.94
;;;;100Lg;01:05.86
;;;;200S;02:42.76
;;;;200R;03:29.12
;;;;200B;02:40.75
;;;;200K;02:56.69
;;;;200Lg;03:08.47
;;;;400K;04:59.33
;;;;400Lg;06:36.97
;;;;800K;14:36.99
;;;;1500K;19:28.30
Schwimmer66;Test66;w;24;50S;00:29.06
;;;;50R;00:42.27
;;;;50B;00:40.50
;;;;50K;00:34.66
;;;;100S;01:05.92
;;;;100R;01:38.00
;;;;100B;01:31.16
;;;;100K;01:02.72
;;;;100Lg;01:21.94
;;;;200S;02:49.64
;;;;200R;03:24.61
;;;;200B;03:53.34
;;;;200K;02:48.54
;;;;200Lg;02:26.83
;;;;400K;05:36.84
;;;;400Lg;06:55.16
;;;;800K;14:44.09
;;;;1500K;21:03.73
Schwimmer67;Test67;m;16;50S;00:31.53
;;;;50R;00:38.72
;;;;50B;00:35.76
;;;;50K;00:29.04
;;;;100S;01:23.46
;;;;100R;01:38.69
;;;;100B;01:42.82
;;;;100K;01:06.14
;;;;100Lg;01:25.38
;;;;200S;02:59.36
;;;;200R;02:26.41
;;;;200B;03:27.48
;;;;200K;02:58.64
;;;;200Lg;02:47.61
;;;;400K;05:56.85
;;;;400Lg;05:05.96
;;;;800K;12:26.92
;;;;1500K;22:05.86
Schwimmer68;Test68;w;96;50S;00:28.90
;;;;50R;00:32.60
;;;;50B;00:38.76
;;;;50K;00:36.60
;;;;100S;01:14.86
;;;;100R;01:27.62
;;;;100B;01:16.02
;;;;100K;01:05.51
;;;;100Lg;01:28.59
;;;;200S;03:04.56
;;;;200R;02:40.68
;;;;200B;03:27.28
;;;;200K;02:05.09
;;;;200Lg;03:26.15
;;;;400K;04:21.58
;;;;400Lg;05:10.32
;;;;800K;12:12.99
;;;;1500K;21:01.59
Schwimmer69;Test69;m;35;50S;00:38.52
;;;;50R;00:36.55
;;;;50B;00:44.93
;;;;50K;00:27.83
;;;;100S;01:17.80
;;;;100R;01:32.11
;;;;100B;01:19.04
;;;;100K;01:02.28
;;;;100Lg;01:26.13
;;;;200S;02:25.08
;;;;200R;02:44.74
;;;;200B;03:02.23
;;;;200K;02:16.68
;;;;200Lg;02:28.76
;;;;400K;04:41.98
;;;;400Lg;05:59.59
;;;;800K;10:10.54
;;;;1500K;19:18.75
Schwimmer70;Test70;m;81;50S;00:37.45
;;;;50R;00:33.12
;;;;50B;00:49.94
;;;;50K;00:35.88
;;;;100S;01:05.80
;;;;100R;01:15.46
;;;;100B;01:13.37
;;;;100K;01:19.58
;;;;100Lg;01:29.01
;;;;200S;03:03.99
;;;;200R;03:28.81
;;;;200B;03:18.65
;;;;200K;02:48.52
;;;;200Lg;02:44.06
;;;;400K;05:47.63
;;;;400Lg;05:31.95
;;;;800K;12:13.62
;;;;1500K;18:51.96
Schwimmer71;Test71;m;91;50S;00:34.91
;;;;50R;00:33.77
;;;;50B;00:48.22
;;;;50K;00:26.02
;;;;100S;01:20.45
;;;;100R;01:12.79
;;;;100B;01:23.68
;;;;100K;01:07.08
;;;;100Lg;01:24.40
;;;;200S;02:21.28
;;;;200R;03:15.16
;;;;200B;02:47.17
;;;;200K;02:19.65
;;;;200Lg;02:57.12
;;;;400K;05:52.83
;;;;400Lg;06:02.49
;;;;800K;10:04.32
;;;;1500K;24:20.46
Schwimmer72;Test72;m;20;50S;00:28.05
;;;;50R;00:30.93
;;;;50B;00:49.07
;;;;50K;00:33.52
;;;;100S;01:06.05
;;;;100R;01:16.86
;;;;100B;01:11.76
;;;;100K;00:57.65
;;;;100Lg;01:17.27
;;;;200S;03:00.81
;;;;200R;02:21.48
;;;;200B;03:29.96
;;;;200K;02:49.69
;;;;200Lg;02:43.92
;;;;400K;05:48.01
;;;;400Lg;06:38.57
;;;;800K;11:58.07
;;;;1500K;20:40.71
Schwimmer73;Test73;w;31;50S;00:34.81
;;;;50R;00:35.02
;;;;50B;00:33.73
;;;;50K;00:37.59
;;;;100S;01:02.58
;;;;100R;01:27.16
;;;;100B;01:43.43
;;;;100K;01:16.37
;;;;100Lg;01:19.55
;;;;200S;03:08.86
;;;;200R;02:32.80
;;;;200B;02:35.70
;;;;200K;02:34.00
;;;;200Lg;02:54.33
;;;;400K;04:50.69
;;;;400Lg;05:10.54
;;;;800K;14:42.20
;;;;1500K;20:16.33
Schwimmer74;Test74;m;81;50S;00:29.29
;;;;50R;00:34.88
;;;;50B;00:49.15
;;;;50K;00:32.04
;;;;100S;01:25.97
;;;;100R;01:22.96
;;;;100B;01:40.97
;;;;100K;00:58.20
;;;;100Lg;01:19.10
;;;;200S;02:18.47
;;;;200R;02:24.36
;;;;200B;02:40.29
;;;;200K;02:31.54
;;;;200Lg;03:19.12
;;;;400K;05:43.40
;;;;400Lg;05:27.29
;;;;800K;12:51.44
;;;;1500K;22:30.78
Schwimmer75;Test75;m;82;50S;00:36.65
;;;;50R;00:40.08
;;;;50B;00:47.28
;;;;50K;00:31.34
;;;;100S;01:20.54
;;;;100R;01:36.97
;;;;100B;01:32.42
;;;;100K;01:17.40
;;;;100Lg;01:26.64
;;;;200S;02:16.36
;;;;200R;03:21.69
;;;;200B;03:41.08
;;;;200K;02:06.90
;;;;200Lg;03:28.43
;;;;400K;05:13.76
;;;;400Lg;05:06.71
;;;;800K;13:16.32
;;;;1500K;18:46.12
Schwimmer76;Test76;m;28;50S;00:28.44
;;;;50R;00:35.67
;;;;50B;00:33.77
;;;;50K;00:34.04
;;;;100S;01:11.73
;;;;100R;01:09.80
;;;;100B;01:36.68
;;;;100K;01:16.80
;;;;100Lg;01:24.54
;;;;200S;02:10.67
;;;;200R;02:39.97
;;;;200B;03:51.62
;;;;200K;02:16.81
;;;;200Lg;03:37.20
;;;;400K;05:07.61
;;;;400Lg;05:49.76
;;;;800K;14:04.69
;;;;1500K;20:07.66
Schwimmer77;Test77;w;38;50S;00:36.88
;;;;50R;00:30.09
;;;;50B;00:34.04
;;;;50K;00:33.09
;;;;100S;01:23.34
;;;;100R;01:31.89
;;;;100B;01:37.38
;;;;100K;01:22.62
;;;;100Lg;01:10.40
;;;;200S;03:04.98
;;;;200R;02:25.70
;;;;200B;03:29.30
;;;;200K;02:29.17
;;;;200Lg;02:52.70
;;;;400K;05:53.89
;;;;400Lg;06:45.16
;;;;800K;12:33.41
;;;;1500K;19:46.95
Schwimmer78;Test78;w;82;50S;00:37.15
;;;;50R;00:41.60
;;;;50B;00:33.86
;;;;50K;00:30.37
;;;;100S;01:27.12
;;;;100R;01:22.90
;;;;100B;01:26.23
;;;;100K;01:05.07
;;;;100Lg;01:27.96
;;;;200S;02:43.08
;;;;200R;03:23.23
;;;;200B;03:28.40
;;;;200K;02:32.28
;;;;200Lg;03:21.81
;;;;400K;04:59.06
;;;;400Lg;06:35.98
;;;;800K;10:11.74
;;;;1500K;23:42.24
Schwimmer79;Test79;w;31;50S;00:28.40
;;;;50R;00:37.07
;;;;50B;00:45.73
;;;;50K;00:30.92
;;;;100S;01:21.14
;;;;100R;01:18.01
;;;;100B;01:15.77
;;;;100K;01:19.74
;;;;100Lg;01:15.74
;;;;200S;03:03.89
;;;;200R;03:23.27
;;;;200B;03:11.30
;;;;200K;02:57.64
;;;;200Lg;03:07.99
;;;;400K;05:53.54
;;;;400Lg;06:29.94
;;;;800K;10:17.70
;;;;1500K;20:21.81
Schwimmer80;Test80;m;44;50S;00:34.98
;;;;50R;00:34.68
;;;;50B;00:40.93
;;;;50K;00:26.39
;;;;100S;01:09.51
;;;;100R;01:16.22
;;;;100B;01:18.18
;;;;100K;01:02.52
;;;;100Lg;01:08.44
;;;;200S;02:36.38
;;;;200R;02:58.33
;;;;200B;02:47.54
;;;;200K;02:05.89
;;;;200Lg;02:34.83
;;;;400K;05:37.61
;;;;400Lg;05:43.25
;;;;800K;14:08.31
;;;;1500K;20:52.89
Schwimmer81;Test81;m;74;50S;00:29.89
;;;;50R;00:37.17
;;;;50B;00:36.48
;;;;50K;00:34.50
;;;;100S;01:14.47
;;;;100R;01:23.90
;;;;100B;01:35.98
;;;;100K;01:09.16
;;;;100Lg;01:33.60
;;;;200S;02:53.76
;;;;200R;02:39.83
;;;;200B;03:31.98
;;;;200K;02:34.87
;;;;200Lg;02:26.95
;;;;400K;05:16.26
;;;;400Lg;06:13.22
;;;;800K;12:48.27
;;;;1500K;19:49.79
Schwimmer82;Test82;m;98;50S;00:36.55
;;;;50R;00:34.50
;;;;50B;00:36.40
;;;;50K;00:26.24
;;;;100S;01:28.99
;;;;100R;01:14.22
;;;;100B;01:30.06
;;;;100K;00:59.51
;;;;100Lg;01:29.90
;;;;200S;02:23.62
;;;;200R;03:19.37
;;;;200B;02:59.47
;;;;200K;02:09.08
;;;;200Lg;02:32.83
;;;;400K;05:28.68
;;;;400Lg;06:52.53
;;;;800K;13:05.87
;;;;1500K;24:25.49
Schwimmer83;Test83;m;60;50S;00:31.38
;;;;50R;00:39.46
;;;;50B;00:46.98
;;;;50K;00:36.90
;;;;100S;01:24.54
;;;;100R;01:19.97
;;;;100B;01:33.93
;;;;100K;01:05.03
;;;;100Lg;01:26.99
;;;;200S;03:08.50
;;;;200R;03:09.53
;;;;200B;03:43.13
;;;;200K;02:14.29
;;;;200Lg;02:52.71
;;;;400K;05:40.99
;;;;400Lg;06:05.71
;;;;800K;13:33.70
;;;;1500K;21:29.95
Schwimmer84;Test84;m;91;50S;00:28.17
;;;;50R;00:32.97
;;;;50B;00:39.92
;;;;50K;00:36.37
;;;;100S;01:21.50
;;;;100R;01:28.80
;;;;100B;01:37.77
;;;;100K;01:02.90
;;;;100Lg;01:05.11
;;;;200S;02:21.61
;;;;200R;02:28.66
;;;;200B;03:12.99
;;;;200K;02:22.44
;;;;200Lg;03:37.34
;;;;400K;05:54.75
;;;;400Lg;06:03.79
;;;;800K;11:40.30
;;;;1500K;21:40.48
Schwimmer85;Test85;m;15;50S;00:39.59
;;;;50R;00:31.12
;;;;50B;00:34.37
;;;;50K;00:35.24
;;;;100S;01:20.96
;;;;100R;01:07.50
;;;;100B;01:23.86
;;;;100K;01:06.95
;;;;100Lg;01:28.69
;;;;200S;03:07.48
;;;;200R;02:47.32
;;;;200B;03:14.96
;;;;200K;02:06.22
;;;;200Lg;02:56.71
;;;;400K;04:24.09
;;;;400Lg;05:16.77
;;;;800K;12:48.20
;;;;1500K;22:10.17
Schwimmer86;Test86;m;64;50S;00:37.13
;;;;50R;00:37.76
;;;;50B;00:35.23
;;;;50K;00:34.95
;;;;100S;01:11.88
;;;;100R;01:20.38
;;;;100B;01:33.56
;;;;100K;01:20.70
;;;;100Lg;01:06.39
;;;;200S;02:21.11
;;;;200R;02:38.79
;;;;200B;03:42.18
;;;;200K;02:44.82
;;;;200Lg;02:27.83
;;;;400K;04:32.77
;;;;400Lg;06:09.03
;;;;800K;10:32.35
;;;;1500K;23:22.53
Schwimmer87;Test87;w;27;50S;00:31.69
;;;;50R;00:37.18
;;;;50B;00:36.64
;;;;50K;00:26.98
;;;;100S;01:05.33
;;;;100R;01:33.19
;;;;100B;01:49.14
;;;;100K;01:13.46
;;;;100Lg;01:15.72
;;;;200S;02:11.96
;;;;200R;03:29.54
;;;;200B;03:35.82
;;;;200K;02:34.10
;;;;200Lg;03:11.70
;;;;400K;05:56.85
;;;;400Lg;05:20.94
;;;;800K;10:08.49
;;;;1500K;19:38.03
Schwimmer88;Test88;w;88;50S;00:32.34
;;;;50R;00:43.95
;;;;50B;00:46.08
;;;;50K;00:29.17
;;;;100S;01:06.85
;;;;100R;01:39.84
;;;;100B;01:43.40
;;;;100K;01:01.70
;;;;100Lg;01:08.29
;;;;200S;02:55.24
;;;;200R;02:54.30
;;;;200B;03:39.06
;;;;200K;02:59.67
;;;;200Lg;03:24.41
;;;;400K;04:21.83
;;;;400Lg;05:56.64
;;;;800K;13:51.90
;;;;1500K;20:24.92
Schwimmer89;Test89;w;62;50S;00:39.07
;;;;50R;00:33.64
;;;;50B;00:38.86
;;;;50K;00:33.76
;;;;100S;01:04.45
;;;;100R;01:32.48
;;;;100B;01:35.52
;;;;100K;01:02.86
;;;;100Lg;01:05.53
;;;;200S;02:43.03
;;;;200R;02:52.99
;;;;200B;03:59.55
;;;;200K;02:40.84
;;;;200Lg;02:53.95
;;;;400K;05:49.13
;;;;400Lg;05:28.84
;;;;800K;14:40.00
;;;;1500K;23:34.96
Schwimmer90;Test90;m;59;50S;00:33.19
;;;;50R;00:44.21
;;;;50B;00:39.65
;;;;50K;00:34.11
;;;;100S;01:10.28
;;;;100R;01:38.58
;;;;100B;01:30.56
;;;;100K;01:04.12
;;;;100Lg;01:32.47
;;;;200S;03:00.58
;;;;200R;03:21.97
;;;;200B;02:37.61
;;;;200K;02:52.45
;;;;200Lg;02:48.61
;;;;400K;05:57.51
;;;;400Lg;06:04.26
;;;;800K;12:13.06
;;;;1500K;18:28.35
Schwimmer91;Test91;w;51;50S;00:38.06
;;;;50R;00:43.08
;;;;50B;00:42.40
;;;;50K;00:28.17
;;;;100S;01:01.38
;;;;100R;01:09.88
;;;;100B;01:43.94
;;;;100K;01:01.49
;;;;100Lg;01:07.74
;;;;200S;02:59.51
;;;;200R;02:54.70
;;;;200B;02:44.24
;;;;200K;02:42.48
;;;;200Lg;02:42.44
;;;;400K;05:36.48
;;;;400Lg;05:22.63
;;;;800K;10:36.96
;;;;1500K;22:40.65
Schwimmer92;Test92;m;81;50S;00:28.47
;;;;50R;00:37.52
;;;;50B;00:33.82
;;;;50K;00:29.99
;;;;100S;01:14.86
;;;;100R;01:07.94
;;;;100B;01:46.29
;;;;100K;01:05.24
;;;;100Lg;01:06.67
;;;;200S;02:12.01
;;;;200R;02:48.00
;;;;200B;02:57.28
;;;;200K;02:47.05
;;;;200Lg;03:13.52
;;;;400K;05:56.90
;;;;400Lg;05:10.93
;;;;800K;13:46.57
;;;;1500K;21:16.65
Schwimmer93;Test93;m;36;50S;00:28.87
;;;;50R;00:40.38
;;;;50B;00:38.81
;;;;50K;00:27.25
;;;;100S;01:24.96
;;;;100R;01:23.16
;;;;100B;01:23.28
;;;;100K;01:14.85
;;;;100Lg;01:31.09
;;;;200S;03:04.52
;;;;200R;03:02.04
;;;;200B;03:27.02
;;;;200K;02:57.26
;;;;200Lg;03:05.52
;;;;400K;05:42.59
;;;;400Lg;05:39.76
;;;;800K;10:52.87
;;;;1500K;20:26.73
Schwimmer94;Test94;w;13;50S;00:34.82
;;;;50R;00:35.16
;;;;50B;00:40.68
;;;;50K;00:29.80
;;;;100S;01:08.48
;;;;100R;01:37.15
;;;;100B;01:13.98
;;;;100K;01:07.28
;;;;100Lg;01:20.49
;;;;200S;03:09.71
;;;;200R;02:40.23
;;;;200B;02:36.37
;;;;200K;02:13.87
;;;;200Lg;02:35.37
;;;;400K;04:33.04
;;;;400Lg;06:55.77
;;;;800K;13:35.54
;;;;1500K;23:22.31
Schwimmer95;Test95;w;27;50S;00:30.05
;;;;50R;00:36.80
;;;;50B;00:36.93
;;;;50K;00:34.48
;;;;100S;01:15.34
;;;;100R;01:17.10
;;;;100B;01:30.35
;;;;100K;00:56.57
;;;;100Lg;01:05.03
;;;;200S;02:32.88
;;;;200R;02:41.91
;;;;200B;03:43.91
;;;;200K;02:14.49
;;;;200Lg;02:39.05
;;;;400K;04:57.14
;;;;400Lg;06:02.78
;;;;800K;12:37.92
;;;;1500K;21:50.18
Schwimmer96;Test96;w;8;50S;00:39.72
;;;;50R;00:42.50
;;;;50B;00:36.25
;;;;50K;00:30.90
;;;;100S;01:21.06
;;;;100R;01:06.08
;;;;100B;01:43.79
;;;;100K;00:58.71
;;;;100Lg;01:33.69
;;;;200S;02:25.20
;;;;200R;02:43.88
;;;;200B;02:50.20
;;;;200K;02:19.24
;;;;200Lg;03:19.52
;;;;400K;05:33.40
;;;;400Lg;06:05.25
;;;;800K;12:32.73
;;;;1500K;22:49.65
Schwimmer97;Test97;m;59;50S;00:32.81
;;;;50R;00:33.73
;;;;50B;00:38.40
;;;;50K;00:31.63
;;;;100S;01:07.94
;;;;100R;01:21.39
;;;;100B;01:27.17
;;;;100K;01:10.42
;;;;100Lg;01:08.21
;;;;200S;03:02.99
;;;;200R;03:25.04
;;;;200B;03:53.57
;;;;200K;02:23.23
;;;;200Lg;03:21.16
;;;;400K;05:54.38
;;;;400Lg;05:49.46
;;;;800K;11:35.82
;;;;1500K;20:45.39
Schwimmer98;Test98;m;86;50S;00:36.61
;;;;50R;00:37.18
;;;;50B;00:43.99
;;;;50K;00:33.71
;;;;100S;01:19.03
;;;;100R;01:11.38
;;;;100B;01:25.94
;;;;100K;01:00.82
;;;;100Lg;01:05.09
;;;;200S;03:08.50
;;;;200R;03:21.16
;;;;200B;03:00.42
;;;;200K;02:08.03
;;;;200Lg;02:45.14
;;;;400K;04:30.13
;;;;400Lg;06:53.47
;;;;800K;12:16.44
;;;;1500K;20:21.30
Schwimmer99;Test99;m;15;50S;00:31.23
;;;;50R;00:31.66
;;;;50B;00:43.21
;;;;50K;00:27.27
;;;;100S;01:24.72
;;;;100R;01:11.51
;;;;100B;01:43.59
;;;;100K;01:12.37
;;;;100Lg;01:27.75
;;;;200S;02:44.22
;;;;200R;02:43.18
;;;;200B;03:30.51
;;;;200K;02:39.35
;;;;200Lg;03:33.10
;;;;400K;05:12.48
;;;;400Lg;05:42.26
;;;;800K;10:19.26
;;;;1500K;21:57.84
Schwimmer100;Test100;m;4;50S;00:30.10
;;;;50R;00:39.04
;;;;50B;00:34.69
;;;;50K;00:31.09
;;;;100S;01:12.68
;;;;100R;01:23.54
;;;;100B;01:49.95
;;;;100K;01:02.04
;;;;100Lg;01:07.50
;;;;200S;02:48.85
;;;;200R;03:24.98
;;;;200B;02:39.74
;;;;200K;02:42.83
;;;;200Lg;02:25.68
;;;;400K;05:23.85
;;;;400Lg;06:38.24
;;;;800K;14:22.45
;;;;1500K;21:42.999
